AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used
Steins;Gate,"Okabe, Rintarou ""Hououin Kyouma""","Miyano, Mamoru","Sci-Fi, Thriller",SteinsGate - Okabe Rintarou.mp4,Okabe Rintarou.png,X
Sword Art Online,"""Lisbeth"" Shinozaki, Rika","Takagaki, Ayahi","Action, Adventure, Fantasy, Game, Romance",Sword Art Online - Lisbeth Shinozaki Rika.avi,Lisbeth.png,X
Tokyo Ghoul,"Tsukiyama, Shuu ""Gourmet""","Miyano, Mamoru","Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TG - Tsukiyama Shuu.mp4,Tsukiyama Shuu.jpg,X
Tiger and Bunny,"Blue Rose, Karina Lyle","Kotobuki, Minako","Action, Comedy, Mystery, Super Power",Tiger and Bunny - Blue Rose.mp4,Blue Rose.jpg,X
Toradora,"Aisaka, Taiga ""Palm-top tiger""","Kugimiya, Rie","Comedy, Romance, School, Slice of Life",Toradora - Taiga.avi,Taiga.jpg,X
Yamada-kun and the Seven Witches,"Shiraishi, Urara","Osaka, Ryota","Comedy, Harem, Mystery, Romance, School, Shounen, Supernatural",Yamada kun and the Seven Witches - Shiraishi in Yamada's body.avi,Shiraishi + Yamada.jpg,X
Yu-Gi-Oh!,"Atem, Pharaoh, Yami Yugi",Dan Green,"Adventure, Game, Shounen",YGO - Atem.mp4,Atem.jpg,X
Yowamushi Pedal,"Izumida, Touichirou","Abe, Atsushi","Comedy, Drama, Shounen, Sports",YowaPeda - Izumida.avi,Izumida Touishirou.jpg,X
,,,,,,
Accel World,Ash Roller,"Suzumura, Kenichi","Action, Game, Romance, School, Sci-Fi",Accel World - Ash Roller.avi,01_Ash Roller.jpg,
Air,"Kamio, Misuzu","Kawakami, Tomoko","Drama, Romance, Slice of Life, Supernatural",Air - Misuzu Kamio.avi,02_Misuzu.jpg,
Akame ga Kill,"Esdeath ""Ice Queen""","Akesaka, Satomi","Action, Adventure, Fantasy",Akame ga Kill - Esdeath.avi,03_Esdeath.png,
Akatsuki no Yona,"Jae-Ha ""Green Dragon""","Suwabe, Junichi","Action, Adventure, Comedy, Fantasy, Romance, Shoujo",Akatsuki no Yona - Jaeha.avi,04_JaeHa.jpg,
Angel Beats,Yui,"Kitamura, Eri","Action, Comedy, Drama, School, Supernatural",Angel Beats - Yui.mp4,05_Yui.png,
Ao Haru Ride,"Yoshioka, Futaba","Uchida, Maaya","Comedy, Drama, Romance, School, Shoujo, Slice of Life",Ao Haru Ride - Futaba.mp4,06_Futaba.jpg,
Ao no Exorcist,"Okimura, Rin","Okamoto, Nobuhiko","Action, Demons, Fantasy, Shounen, Supernatural",Ao no Exorcist - Rin.mp4,07_Rin.jpg,
Attack on Titan,Eren Jaeger,"Kaji, Yuki","Action, Drama, Fantasy, Shounen, Super Power",Attack on Titan - Eren.mp4,08_Eren.png,
Black Bullet,"Hiruko, Kagetane","Koyama, Rikiya","Action, Mystery, Sci-Fi, Seinen",Black Bullet - Kagetane Hiruko.avi,09_Kagetane.jpg,
Shugo Chara,"Hinamori, Amu","Itou, Kanae","Comedy, Magic, School, Shoujo",Chugo Chara - Amu.mp4,10_Amu.png,
Cowboy Bebop,Spike Spiegel,"Yamadera, Kouichi","Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop - Spike.mp4,11_Spike.jpg,
DanMachi (Is It Wrong to Try to Pick Up Girls in a Dungeon?),Bell Cranel,"Matsuoka, Yoshitsugu","Action, Adventure, Comedy, Fantasy, Romance, Shoujo",Danmachi - Bell Cranel.avi,12_Bell Cranel.jpg,
Date a Live,"Yoshino ""Hermit""","Nomizu, Iori","Comedy, Harem, Mecha, Romance, School, Sci-Fi",Date A Live - Yoshino.avi,13_Yoshino.png,
Dragonball Z,"Son, Goku","Nozawa, Masako","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",DBZ - Goku (jap).mp4,14_Goku.jpg,
Jojo's Bizarre Adventure: Diamond Is Unbreakable,"Higashikata, Josuke ""Jojo""","Ono, Yuuki","Action, Adventure, Comedy, Drama, Shounen, Supernatural",Diamond Is Unbreakable - JoJo's Bizarre Adventure - Josuke.avi,15_Josuke.png,
Digimon,,,"Action, Adventure, Comedy, Fantasy, Kids",Digimon - Hikari.mp4,16_Hikari.gif,
Elfen Lied,,,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",Elfen Lied -Nyu.mp4,17_Nyu`Lucy.jpg,
Eyeshield 21,,,"Action, Comedy, Shounen, Sports",Eyeshield 21 - Hiruma.mp4,18_Hiruma.jpg,
Fairy Tail,,,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",Fairy Tail - Erza Scarlet.avi,19_Erza.png,
Fate/Zero (?),,,"Action, Fantasy, Supernatural",Fate - Saber.mp4,20_Saber.png,
Fullmetal Alchemist,,,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",FMA -Trisha Elric.mp4,21_Trisha Elric.jpg,
God Eater,,,"Action, Demons, Fantasy, Military, Supernatural",God Eater   Lindow Amamiya.avi,22_Lindow.jpg,
Golden Time,,,"Comedy, Romance, Seinen",Golden Time - Tada Banri.avi,23_Tada Banri.jpg,
Guilty Crown,,,"Action, Drama, Sci-Fi, Super Power",Guilty Crown - Inori Yuzuriha.avi,24_Inori.jpg,
Mobile Suit Gundam: Iron-blooded Orphans,,,"Action, Drama, Mecha, Sci-Fi, Space",Gundam Iron Blooded orphans - Mikazuki.avi,25_Mikazuki Augus.png,
Mobile Suit Gundam Seed,,,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Gundam Seed - Kira Yamato.avi,26_Kira.jpg,
Haikyuu,,,"Comedy, Drama, School, Shounen, Sports",Haikyuu - Bokuto.avi,27_Bokuto.jpg,
Hibike Euphonium,,,"Drama, Music, School",Hibike Euphonium - Reina.avi,28_Reina.jpg,
Jojo's Bizarre Adventure,,,"Action, Adventure, Shounen, Supernatural, Vampire",Jojo - Dio Brando.mp4,29_Dio Brando.png,
Kill la Kill,,,"Action, Comedy, School, Super Power",KLK - Ryuko.mp4,30_Ryuko.jpg,
Kuroko no Basuke,,,"Comedy, School, Shounen, Sports",KnB - Aomine.mp4,31_Aomine.png,
Kuroko no Basuke,,,"Comedy, School, Shounen, Sports",KnB - Kagami.mp4,32_Kagami.jpg,
Magi: The Labyrinth of Magic,,,"Action, Adventure, Fantasy, Magic, Shounen",Magi - Aladdin.mp4,33_Aladdin.png,
Magi: The Labyrinth of Magic,,,"Action, Adventure, Fantasy, Magic, Shounen",Magi -Sinbad.mp4,34_Sinbad.png,
Mawaru Penguindrum,,,"Comedy, Drama, Mystery, Psychological",Mawaru Penguindrum - Himari.avi,35_Himari Penguindrum.jpg,
Mirai Nikki,,,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",Mirai Nikki - Gasai Yuno.avi,36_Gasai Yuno.png,
Nagi no Asukara,,,"Drama, Fantasy, Romance",Nagi no Asukara - Miuna.avi,37_Miuna.png,
Naruto,,,"Action, Comedy, Martial Arts, Shounen, Super Power",Naruto - Tsunade.mp4,38_Tsunade.png,
Neon Genesis Evangelion,,,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",Neon Genesis Evangelion - Kaworu Nagisa.avi,39_Nagisa Kaworu.png,
Neon Genesis Evangelion,,,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",NGE - Asuka.mp4,40_Asuka.jpg,
No Game No Life,,,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",NGNL - Sora.mp4,41_Sora.jpg,
One Piece,,,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One Piece - Igaram.mp4,42_Igaram.jpg,
One Piece,,,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One Piece - Luffy.mp4,43_Luffy.png,
Ouran High School Host Club,,,"Comedy, Harem, Romance, School, Shoujo",Ouran High - Honey-Senpai.mp4,44_Honey senpai.jpg,
Pokemon,,,"Action, Adventure, Comedy, Fantasy, Kids",Pokemon - Ash.mp4,45_Ash.gif,
Re:ZERO -Starting Life in Another World-,,,"Drama, Fantasy, Thriller",Re zero - Emilia.avi,46_Emilia.jpg,
Re:ZERO -Starting Life in Another World-,,,"Drama, Fantasy, Thriller",ReZero - Natsuki Subaru.avi,47_Natsuki Subaru.jpg,
