AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used,Is_played
Overlord,"Ainz Ooal Gown, Momonga","Hino, Satoshi","Action, Adventure, Fantasy, Game, Magic, Supernatural",Overlord - Ainz.avi,Ainz.png,X,FALSE
Ping Pong: the Animation,"Hoshino, Yutaka ""Peco""","Katayama, Fukujurou","Psychological, Seinen, Sports",Ping Pong the Animation - Peco.avi,Peco.jpg,X,FALSE
Prince of Tennis,"Echizen, Ryouma","Minagawa, Junko","Action, Comedy, School, Shounen, Sports",PoT - Echizen.mp4,EchizenRyoma.png,X,FALSE
Prison School,"Fujino, Kiyoshi","Kamiya, Hiroshi","Comedy, Ecchi, Romance, School, Seinen",Prison school - Kiyoshi Fujino.avi,Kiyoshi.jpg,X,FALSE
Psycho-Pass,"Makishima, Shogo","Takahiro, Sakurai","Action, Police, Psychological, Sci-Fi",PsychoPass - Makishima Shogo.mp4,Makishima Shougo.jpg,X,FALSE
Puella Magi Madoka Magica,Kyuubey,"Katou, Emiri","Drama, Magic, Psychological, Thriller",Puella Magi Madoka - Kyubei.mp4,Kyuubey.jpg,X,FALSE
Sailor Moon,"Sailor Moon, Usagi Tsukino, Serena",Stephanie Sheh,"Demons, Magic, Romance, Shoujo",Sailor Moon - Sailor Moon.avi,Sailor Moon.png,X,FALSE
Saint Seiya (Knights of the Zodiac),"Seiya, Pegasus Seiya, Sagittarius Seiya","Furuya, Toru","Adventure, Fantasy, Sci-Fi, Shounen",Saint Seiya - Seiya.mp4,Seiya.png,X,FALSE
Sakurasou no Pet na Kanojo,"Kanda, Sorata ""kouhai-kun""","Matsuoka, Yoshitsugu","Comedy, Drama, Romance, School, Slice of Life",Sakurasou na pet no kanojo - Sorata.avi,Sorata.jpg,X,FALSE
Samurai Champloo,"Kasumi, Fuu","Kawasumi, Ayako","Action, Adventure, Comedy, Historical, Samurai, Shounen",Samurai Champloo - Fuu.mp4,Fuu.jpg,X,FALSE
Shakugan no Shana,"Shana, Shana-tan","Kugimiya, Rie","Action, Drama, Fantasy, Romance, School, Supernatural",Shakugan no Shana - Shana.mp4,Shana.jpg,X,FALSE
Shaman King,"Asakura, Yoh",Sebastian Arcelus,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",Shaman King - Yoh.mp4,Yoh.jpg,X,FALSE
Shigatsu wa Kimi no Uso,"Arima, Kousei ""Human Metronome""","Hanae, Natsuki","Drama, Music, Romance, School, Shounen",Shigatsu wa Kimi no Uso - Arima Kousei.mp4,Arima.png,X,FALSE
Shinsekai Yori,"Watanabe, Saki","Endou, Aya & Taneda, Risa","Drama, Horror, Mystery, Sci-Fi, Supernatural",Shinsekai Yori - Saki Watanabe.avi,Saki Watanabe.jpg,X,FALSE
Shirobako,"Yasuhara, Ema","Yoshimura, Haruka","Comedy, Drama",Shirobako - Ema.avi,Ema.png,X,FALSE
